Category: All categories

DMA,fluffernutter: (1/1/04 - 6/10/25),peanut butter and jelly: (1/1/04 - 6/10/25),liberty sandwich: (1/1/04 - 6/10/25)
Birmingham AL,9%,90%,1%
Roanoke-Lynchburg VA,13%,84%,3%
Alexandria LA,8%,92%,
Salisbury MD,9%,91%,
San Antonio TX,9%,91%,<1%
Tallahassee FL-Thomasville GA,9%,90%,1%
Tulsa OK,11%,89%,
Ft. Myers-Naples FL,11%,89%,
San Diego CA,11%,85%,4%
Sacramento-Stockton-Modesto CA,10%,90%,<1%
Augusta GA,8%,92%,
Monterey-Salinas CA,11%,89%,
Washington DC (Hagerstown MD),9%,90%,1%
Las Vegas NV,9%,91%,<1%
New Orleans LA,9%,90%,1%
Santa Barbara-Santa Maria-San Luis Obispo CA,12%,88%,
Baton Rouge LA,8%,92%,
Montgomery (Selma) AL,7%,93%,
Corpus Christi TX,8%,92%,
New York NY,9%,90%,1%
Macon GA,7%,93%,
Dallas-Ft. Worth TX,11%,88%,1%
Houston TX,9%,89%,2%
West Palm Beach-Ft. Pierce FL,11%,89%,<1%
Honolulu HI,11%,89%,
El Paso TX,9%,91%,
Los Angeles CA,10%,90%,<1%
Atlanta GA,9%,91%,<1%
Chicago IL,8%,92%,<1%
Hattiesburg-Laurel MS,7%,93%,
Fresno-Visalia CA,9%,91%,<1%
Lake Charles LA,8%,92%,
San Francisco-Oakland-San Jose CA,12%,87%,1%
Memphis TN,9%,89%,2%
Lafayette LA,8%,89%,3%
Columbus GA,7%,93%,
Albany GA,5%,95%,
Palm Springs CA,7%,93%,
Bakersfield CA,6%,94%,
Marquette MI,6%,94%,
Jackson MS,6%,94%,
Monroe LA-El Dorado AR,5%,95%,
Miami-Ft. Lauderdale FL,7%,92%,1%
Yuma AZ-El Centro CA,4%,96%,
Harlingen-Weslaco-Brownsville-McAllen TX,5%,95%,
Glendive MT,,,
Laredo TX,,100%,
North Platte NE,,100%,
Greenwood-Greenville MS,,100%,
Twin Falls ID,,100%,
Meridian MS,,100%,
Ottumwa IA-Kirksville MO,,100%,
Great Falls MT,,100%,
Alpena MI,,100%,
